Classifier,Timestep,Timestep_Label,Qwen_Response_Accuracy,Llama_Response_Accuracy,Overall_Accuracy
BERT,0,$B_0$,96.5,97.89999999999999,97.19999999999999
BERT,75,$B_{75}$,81.89999999999999,97.89999999999999,89.89999999999999
BERT,225,$B_{225}$,82.1,94.89999999999999,88.5
BERT,375,$B_{375}$,82.1,95.89999999999999,89.0
Qwen_LLM,0,$Q_0$,92.9,99.4,96.15
Qwen_LLM,75,$Q_{75}$,82.1,99.0,90.55
Qwen_LLM,225,$Q_{225}$,76.7,99.4,88.05000000000001
Qwen_LLM,375,$Q_{375}$,73.3,99.1,86.19999999999999
Llama_LLM,0,$L_0$,92.10000000000001,97.39999999999999,94.75
Llama_LLM,75,$L_{75}$,76.8,99.6,88.19999999999999
Llama_LLM,225,$L_{225}$,75.1,98.7,86.9
Llama_LLM,375,$L_{375}$,76.3,99.4,87.85
